,brand,year,model,used_or_new,transmission,drive_type,fuel_type,fuel_consumption,kilometres,cylinders,body_type,doors,seats,price,cylinder_capacity,exterior_clr,suburb,state
6279,Chrysler,2008.0,Grand,USED,Automatic,Front,Unleaded,12.3 L / 100 km,125000.0,6,Wagon,4,7,8999.0,3.8,Silver,Dandenong,VIC
6280,Kia,2021.0,Carnival,USED,Automatic,Front,Unleaded,9.6 L / 100 km,45427.0,6,Wagon,4,8,49888.0,3.5,Blue,Pakenham,VIC
6281,Kia,2010.0,Grand,USED,Automatic,Front,Unleaded,12.8 L / 100 km,140010.0,6,Wagon,4,8,12990.0,3.8,Blue,Watsonia,VIC
6282,Dodge,2010.0,Journey,USED,Automatic,Front,Premium,10.3 L / 100 km,149010.0,6,Wagon,4,7,11501.0,2.7,Gold,Fawkner,VIC
6283,Mazda,2003.0,MPV,USED,Automatic,Front,Unleaded,13 L / 100 km,201603.0,6,Wagon,4,7,7999.0,3.0,White,Ringwood,VIC
6284,Kia,2017.0,Carnival,USED,Automatic,Front,Unleaded,11.6 L / 100 km,92207.0,6,Wagon,4,8,30990.0,3.3,Silver,Ringwood,VIC
6285,Kia,2018.0,Carnival,USED,Automatic,Front,Unleaded,11.6 L / 100 km,105124.0,6,Wagon,4,8,41990.0,3.3,Grey,Pakenham,VIC
6286,Kia,2018.0,Carnival,USED,Automatic,Front,Unleaded,11.6 L / 100 km,110051.0,6,Wagon,4,8,33999.0,3.3,Silver,Berwick,VIC
6287,Kia,2009.0,Grand,USED,Automatic,Front,Unleaded,12.8 L / 100 km,105213.0,6,Wagon,4,8,19990.0,3.8,White,Moorabbin,VIC
6288,Kia,2008.0,Grand,USED,Automatic,Front,Unleaded,12.8 L / 100 km,190450.0,6,Wagon,4,8,10490.0,3.8,Blue,Slacks Creek,QLD
6289,Kia,2017.0,Carnival,USED,Automatic,Front,Unleaded,11.6 L / 100 km,61291.0,6,Wagon,4,8,38490.0,3.3,Black,CAMBERWELL,VIC
6290,Kia,2012.0,Grand,USED,Automatic,Front,Unleaded,10.9 L / 100 km,263675.0,6,Wagon,4,8,8990.0,3.5,Silver,Watsonia,VIC
6291,Toyota,2011.0,Tarago,USED,Automatic,Front,Premium,10.3 L / 100 km,198859.0,6,Wagon,4,7,23990.0,3.5,Black,Hoppers Crossing,VIC
6292,Kia,2019.0,Carnival,USED,Automatic,Front,Unleaded,11.6 L / 100 km,93723.0,6,Wagon,4,8,41990.0,3.3,Blue,CAMBERWELL,VIC
6293,Kia,2007.0,Grand,USED,Automatic,Front,Unleaded,12.8 L / 100 km,189000.0,6,Wagon,4,8,9900.0,3.8,Black,Slacks Creek,QLD
6294,Kia,2015.0,Carnival,USED,Automatic,Front,Unleaded,11.6 L / 100 km,75230.0,6,Wagon,4,8,38950.0,3.3,Black,Port Melbourne,VIC
6295,Kia,2020.0,Carnival,USED,Automatic,Front,Unleaded,10.8 L / 100 km,56793.0,6,Wagon,4,8,38990.0,3.3,Silver,Hoppers Crossing,VIC
6296,Kia,2020.0,Carnival,USED,Automatic,Front,Unleaded,10.8 L / 100 km,45098.0,6,Wagon,4,8,38990.0,3.3,Grey,Hoppers Crossing,VIC
6297,Kia,2020.0,Carnival,USED,Automatic,Front,Unleaded,10.8 L / 100 km,57995.0,6,Wagon,4,8,40880.0,3.3,Silver,Hoppers Crossing,VIC
6298,Toyota,2019.0,Tarago,USED,Automatic,Front,Premium,10.3 L / 100 km,60915.0,6,Wagon,4,7,40990.0,3.5,White,Pinkenba,QLD
6299,Chrysler,2002.0,Grand,USED,Automatic,Front,Unleaded,13.5 L / 100 km,154289.0,6,Wagon,4,7,8999.0,3.3,Silver,North Geelong,VIC
6300,Mazda,2001.0,MPV,USED,Automatic,Front,Unleaded,12.5 L / 100 km,160757.0,6,Wagon,4,7,7999.0,2.5,Green,Ravenhall,VIC
6301,Kia,2018.0,Carnival,USED,Automatic,Front,Unleaded,11.6 L / 100 km,95352.0,6,Wagon,4,8,33888.0,3.3,White,Para Hills West,SA
6302,Kia,2020.0,Carnival,USED,Automatic,Front,Unleaded,10.8 L / 100 km,48963.0,6,Wagon,4,8,39990.0,3.3,Grey,Christies Beach,SA
6303,Kia,2012.0,Grand,USED,Automatic,Front,Unleaded,10.9 L / 100 km,266950.0,6,Wagon,4,8,10990.0,3.5,Black,Warrnambool,VIC
6304,Kia,2009.0,Grand,USED,Automatic,Front,Unleaded,12.8 L / 100 km,94901.0,6,Wagon,4,8,14899.0,3.8,Gold,Kelmscott,WA
6305,Kia,2014.0,Grand,USED,Automatic,Front,Unleaded,10.9 L / 100 km,104830.0,6,Wagon,4,8,19990.0,3.5,Silver,Windsor Gardens,SA
6306,Kia,2011.0,Grand,USED,Automatic,Front,Unleaded,10.9 L / 100 km,216452.0,6,Wagon,4,8,10999.0,3.5,White,Blair Athol,SA
6307,Kia,2019.0,Carnival,USED,Automatic,Front,Unleaded,10.8 L / 100 km,75614.0,6,Wagon,4,8,37990.0,3.3,White,Reynella,SA
6308,Kia,2019.0,Carnival,USED,Automatic,Front,Unleaded,10.8 L / 100 km,57841.0,6,Wagon,4,8,35950.0,3.3,Brown,Cairns,QLD
6309,Kia,2021.0,Carnival,USED,Automatic,Front,Unleaded,9.6 L / 100 km,30910.0,6,Wagon,4,8,48990.0,3.5,White,Bungalow,QLD
6310,Kia,2020.0,Carnival,USED,Automatic,Front,Unleaded,10.8 L / 100 km,145589.0,6,Wagon,4,8,30950.0,3.3,Silver,Welshpool,WA
6311,Kia,2022.0,Carnival,USED,Automatic,Front,Unleaded,9.6 L / 100 km,14710.0,6,Wagon,4,8,48965.0,3.5,White,Attadale,WA
6312,Kia,2018.0,Carnival,USED,Automatic,Front,Unleaded,11.6 L / 100 km,76213.0,6,Wagon,4,8,32999.0,3.3,White,Victoria Park,WA
6313,Kia,2012.0,Grand,USED,Automatic,Front,Unleaded,10.9 L / 100 km,148482.0,6,Wagon,4,8,13990.0,3.5,Silver,Kenwick,WA
6314,Kia,2019.0,Carnival,USED,Automatic,Front,Unleaded,11.6 L / 100 km,62921.0,6,Wagon,4,8,33990.0,3.3,Grey,Morley,WA
6315,Kia,2019.0,Carnival,USED,Automatic,Front,Unleaded,10.8 L / 100 km,49666.0,6,Wagon,4,8,35888.0,3.3,Grey,Maddington,WA
6316,Kia,2019.0,Carnival,USED,Automatic,Front,Unleaded,10.8 L / 100 km,58377.0,6,Wagon,4,8,33990.0,3.3,White,Maddington,WA
6317,Kia,2019.0,Carnival,USED,Automatic,Front,Unleaded,10.8 L / 100 km,58384.0,6,Wagon,4,8,33990.0,3.3,Grey,Maddington,WA
6318,Kia,2022.0,Carnival,USED,Automatic,Front,Unleaded,9.6 L / 100 km,3202.0,6,Wagon,4,8,52999.0,3.5,Silver,Victoria Park,WA
6319,Kia,2019.0,Carnival,USED,Automatic,Front,Unleaded,10.8 L / 100 km,48624.0,6,Wagon,4,8,35988.0,3.3,White,Maddington,WA
6320,Kia,2019.0,Carnival,USED,Automatic,Front,Unleaded,10.8 L / 100 km,51815.0,6,Wagon,4,8,35300.0,3.3,Grey,Maddington,WA
6321,Kia,2019.0,Carnival,USED,Automatic,Front,Unleaded,10.8 L / 100 km,56891.0,6,Wagon,4,8,33990.0,3.3,White,Morley,WA
6322,Kia,2020.0,Carnival,USED,Automatic,Front,Unleaded,10.8 L / 100 km,50151.0,6,Wagon,4,8,35990.0,3.3,White,Victoria Park,WA
6323,Mazda,2006.0,MPV,USED,Automatic,Front,Unleaded,13 L / 100 km,196082.0,6,Wagon,4,7,6999.0,3.0,Silver,Wangara,WA
6324,Kia,2021.0,Carnival,USED,Automatic,Front,Unleaded,9.6 L / 100 km,31687.0,6,Wagon,4,8,44999.0,3.5,White,Wangara,WA
